State_Name,District_Name,Crop_Year,Season,Crop,Temperature,Humidity,Soil_Moisture,Area,Production
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Arecanut,36,35,45,1254.0,2000.0
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Other Kharif pulses,37,40,46,2.0,1.0
Andaman and Nicobar Islands,NICOBARS,2000,Kharif     ,Rice,36,41,50,102.0,321.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Banana,37,42,55,176.0,641.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Cashewnut,36,40,54,720.0,165.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Coconut ,34,45,52,18168.0,65100000.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Dry ginger,34,55,62,36.0,100.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sugarcane,35,50,59,1.0,2.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Sweet potato,25,55,55,5.0,15.0
Andaman and Nicobar Islands,NICOBARS,2000,Whole Year ,Tapioca,36,35,45,40.0,169.0
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Arecanut,37,40,46,1254.0,2061.0
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Other Kharif pulses,36,41,50,2.0,1.0
Andaman and Nicobar Islands,NICOBARS,2001,Kharif     ,Rice,37,42,55,83.0,300.0
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Cashewnut,36,40,54,719.0,192.0
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Coconut ,34,45,52,18190.0,64430000.0
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Dry ginger,34,55,62,46.0,100.0
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sugarcane,35,50,59,1.0,1.0
Andaman and Nicobar Islands,NICOBARS,2001,Whole Year ,Sweet potato,25,55,55,11.0,33.0
Andaman and Nicobar Islands,NICOBARS,2002,Kharif     ,Rice,36,35,45,189.2,510.84
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Arecanut,37,40,46,1258.0,2083.0
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Banana,36,41,50,213.0,1278.0
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Black pepper,37,42,55,63.0,13.5
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Cashewnut,36,40,54,719.0,208.0
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Coconut ,34,45,52,18240.0,67490000.0
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry chillies,34,55,62,413.0,28.8
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Dry ginger,35,50,59,47.3,133.0
Andaman and Nicobar Islands,NICOBARS,2002,Whole Year ,Sugarcane,25,55,55,5.0,40.0
Andaman and Nicobar Islands,NICOBARS,2003,Kharif     ,Rice,36,35,45,52.0,90.17
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Arecanut,37,40,46,1261.0,1525.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Banana,36,41,50,266.0,1763.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Black pepper,37,42,55,75.5,15.86
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Cashewnut,36,40,54,717.0,208.5
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Coconut ,34,45,52,18284.74,68580000.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry chillies,34,55,62,60.0,102.0
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,Dry ginger,35,50,59,102.0,326.4
Andaman and Nicobar Islands,NICOBARS,2003,Whole Year ,other oilseeds,25,55,55,4.2,0.3
Andaman and Nicobar Islands,NICOBARS,2004,Kharif     ,Rice,36,35,45,52.94,72.57
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Arecanut,37,40,46,1264.7,805.85
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Banana,36,41,50,66.42,404.12
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Black pepper,37,42,55,85.0,15.86
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Cashewnut,36,40,54,683.5,197.9
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Coconut ,34,45,52,18394.7,52380000.0
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry chillies,34,55,62,60.0,145.2
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,Dry ginger,35,50,59,118.0,366.0
Andaman and Nicobar Islands,NICOBARS,2004,Whole Year ,other oilseeds,25,55,55,1.0,0.11
Andaman and Nicobar Islands,NICOBARS,2005,Kharif     ,Rice,36,35,45,2.09,12.06
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Arecanut,37,40,46,795.67,
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Banana,36,41,50,22.0,582.0
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Black pepper,37,42,55,41.0,0.1
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Cashewnut,36,40,54,450.0,55.8
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Coconut ,34,45,52,13876.57,52030000.0
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Dry chillies,34,55,62,17.0,
Andaman and Nicobar Islands,NICOBARS,2005,Whole Year ,Turmeric,35,50,59,10.0,70.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Arecanut,25,55,55,896.0,477.6
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Banana,36,35,45,198.0,976.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Black pepper,37,40,46,22.16,0.68
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Cashewnut,36,41,50,450.0,85.13
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Coconut ,37,42,55,14358.0,59370000.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry chillies,36,40,54,3.0,9.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Dry ginger,34,45,52,6.0,21.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sugarcane,34,55,62,0.2,0.5
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Sweet potato,35,50,59,18.0,86.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Tapioca,25,55,55,52.03,450.0
Andaman and Nicobar Islands,NICOBARS,2006,Whole Year ,Turmeric,36,35,45,2.5,1.03
Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Rice,37,40,46,3.5,10.0
Andaman and Nicobar Islands,NICOBARS,2010,Autumn     ,Sugarcane,36,41,50,13.4,41.75
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Arecanut,37,42,55,944.0,1610.0
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Black pepper,36,40,54,23.0,8.5
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Cashewnut,34,45,52,1000.5,260.5
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Dry chillies,34,55,62,12.0,25.0
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Dry ginger,35,50,59,7.0,9.64
Andaman and Nicobar Islands,NICOBARS,2010,Rabi       ,Maize,25,55,55,3.84,18.22
